Case,Vehicle,Order Type,Type,Zones,Severity,Stage,Confidence
859941,Mercedes GLC · QQV-VP 71,Vandalismus,damage,"BUMPER_FRONT_LEFT, SILL_RIGHT, FENDER_FRONT_LEFT",schwer,storniert,94%
894188,Seat Ateca · ZQB-V 4440,Parkschaden,damage,"BUMPER_FRONT_FULL, DOOR_FRONT_RIGHT",mittel,neu,90%
851803,VW Polo · XQC-JD 379,Ölwechsel,service,—,,fertig,90%
828225,Skoda Octavia Combi · XQR-EG 533,Parkschaden,damage,"DOOR_REAR_RIGHT, DOOR_REAR_LEFT",mittel,neu,80%
884436,Ford Focus Turnier · QQZ-NL 7495,Parkschaden,damage,"DOOR_REAR_RIGHT, DOOR_FRONT_LEFT",leicht,storniert,70%
893426,Skoda Scala · QQC-TG 1119,Räder und Reifen,service,—,,fertig,90%
837218,VW Tiguan · ZQB-T 478,Bremsen,service,—,,laufend,95%
849708,VW Golf Variant · ZQD-ZD 71,Steinschlag,damage,WINDSHIELD,mittel,laufend,95%
881716,Seat Ateca · XQA-K 973,Wildunfall,damage,"BUMPER_FRONT_FULL, FENDER_FRONT_RIGHT, FENDER_FRONT_LEFT",schwer,laufend,50%
868539,Audi A4 Avant · QZ-K 18,Steinschlag,damage,WINDSHIELD,mittel,abgeschlossen,95%
834217,Skoda Kodiaq · ZQC-MN 8826,Auffahrunfall,damage,"BUMPER_FRONT_LEFT, BUMPER_FRONT_FULL",mittel,storniert,85%
879671,Seat Arona · XQD-JU 9504,Rangierschaden,damage,"HOOD, TAILGATE",leicht,fertig,95%
875761,Skoda Karoq · XQS-Z 9407,HU/AU,service,—,,neu,90%
820879,BMW X3 · XQC-W 7216,Räder und Reifen,service,—,,laufend,85%
863220,Skoda Karoq · QQZ-J 4840,Hagelschaden,damage,"TAILGATE, ROOF, HOOD",schwer,laufend,50%
897690,Opel Mokka · QQC-V 7619,Räder und Reifen,service,—,,neu,90%
862100,Audi Q3 · QX-E 154,Auffahrunfall,damage,"BUMPER_REAR_RIGHT, FENDER_FRONT_RIGHT, BUMPER_FRONT_FULL",leicht,abgeschlossen,90%
866919,Opel Grandland · XQA-A 1529,Rangierschaden,damage,"BUMPER_REAR_LEFT, FENDER_FRONT_RIGHT",mittel,laufend,95%
829707,BMW 2er Active Tourer · QQA-P 99,Wildunfall,damage,FENDER_FRONT_RIGHT,mittel,laufend,95%
868284,Audi Q3 · XQE-LM 670,Ölwechsel,service,—,,laufend,90%
874892,Opel Corsa · QQT-S 2938,Bremsen,service,—,,abgeschlossen,78%
825608,Ford Focus Turnier · QQC-J 29,Wildunfall,damage,"BUMPER_FRONT_LEFT, FENDER_FRONT_LEFT",mittel,neu,95%
846562,BMW 5er Limousine · XQR-GG 503,Hagelschaden,damage,"HOOD, ROOF",schwer,storniert,70%
836436,Audi A4 Avant · ZQC-Y 466,Ölwechsel,service,—,,laufend,90%
889581,Seat Ateca · QQW-B 8962,Inspektion,service,—,,laufend,95%
869898,BMW 2er Active Tourer · XQS-R 2894,Bremsen,service,—,,fertig,95%
828670,Skoda Karoq · QQE-FG 7639,Auffahrunfall,damage,"BUMPER_FRONT_FULL, BUMPER_FRONT_LEFT, BUMPER_REAR_RIGHT",mittel,laufend,82%
894037,BMW 5er Limousine · QQD-J 5745,Ölwechsel,service,—,,neu,85%
824529,Audi Q2 · QQB-U 7,Hagelschaden,damage,"HOOD, TAILGATE, ROOF",schwer,abgeschlossen,95%
826538,Opel Astra Sports Tourer · QQA-VR 3341,Ölwechsel,service,—,,laufend,90%
882703,Audi Q3 · ZQ-SE 465,Inspektion,service,—,,neu,95%
893861,VW T6.1 Transporter · ZQ-KJ 53,Räder und Reifen,service,—,,laufend,90%
855218,VW Touran · ZQC-PX 42,Ölwechsel,service,—,,abgeschlossen,95%
860161,BMW 3er Touring · ZQM-FV 3,Räder und Reifen,service,—,,abgeschlossen,90%
828817,Audi Q3 · QQL-R 47,Ölwechsel,service,—,,abgeschlossen,95%
832173,Opel Corsa · ZQS-N 64,Ölwechsel,service,—,,abgeschlossen,80%
830612,Skoda Kodiaq · ZQM-VZ 6188,Parkschaden,damage,MIRROR_LEFT,mittel,laufend,95%
820141,Seat Leon · ZQM-Z 649,Parkschaden,damage,BUMPER_REAR_RIGHT,mittel,laufend,95%
884777,Opel Astra Sports Tourer · QQD-TF 73,Räder und Reifen,service,—,,neu,80%
843747,BMW X3 · QX-T 1334,Parkschaden,damage,"DOOR_FRONT_RIGHT, BUMPER_REAR_FULL",mittel,neu,90%
856067,Opel Mokka · ZQD-E 59,HU/AU,service,—,,laufend,75%
828006,VW Polo · QQZ-VU 4810,Bremsen,service,—,,fertig,90%
830330,Skoda Superb Combi · QQF-NY 6306,Parkschaden,damage,"FENDER_FRONT_LEFT, FENDER_REAR_LEFT",mittel,laufend,88%
856884,BMW 2er Active Tourer · QX-XM 658,Ölwechsel,service,—,,fertig,80%
852213,Ford Fiesta · QQT-P 87,Parkschaden,damage,DOOR_REAR_LEFT,mittel,storniert,95%
847565,Mercedes Sprinter · QQT-B 9882,Inspektion,service,—,,laufend,95%
867975,VW T-Roc · QZ-YF 83,Parkschaden,damage,MIRROR_RIGHT,mittel,laufend,90%
883614,Audi A4 Avant · XQD-N 408,Bremsen,service,—,,neu,90%
852387,BMW 2er Active Tourer · QQS-TU 7437,Wildunfall,damage,"BUMPER_FRONT_FULL, FENDER_FRONT_LEFT",leicht,fertig,92%
894542,VW Polo · ZQM-MU 716,Räder und Reifen,service,—,,laufend,90%
860601,Skoda Octavia Combi · QQN-GB 931,HU/AU,service,—,,fertig,90%
862685,VW T-Roc · QQR-G 4591,Räder und Reifen,service,—,,abgeschlossen,90%
863870,Ford Puma · QQM-C 3544,Ölwechsel,service,—,,laufend,95%
888794,BMW 3er Touring · ZQ-PY 538,HU/AU,service,—,,laufend,100%
881596,VW Caddy · XQL-BG 3813,Räder und Reifen,service,—,,laufend,85%
888762,Opel Vivaro · XQB-Y 43,Auffahrunfall,damage,"BUMPER_FRONT_LEFT, FENDER_REAR_LEFT, FENDER_FRONT_RIGHT",mittel,storniert,87%
888218,Seat Leon · QQB-Z 237,Räder und Reifen,service,—,,neu,90%
832266,Mercedes C-Klasse T-Modell · QQ-XU 283,Parkschaden,damage,"FENDER_FRONT_RIGHT, FENDER_REAR_LEFT",schwer,abgeschlossen,95%
832859,Seat Ibiza · QQV-B 2373,Auffahrunfall,damage,"HOOD, FENDER_REAR_LEFT",leicht,neu,85%
860661,VW Polo · QQS-R 956,Inspektion,service,—,,abgeschlossen,95%
889035,Mercedes A-Klasse · QQZ-H 521,Ölwechsel,service,—,,neu,90%
868307,Opel Astra Sports Tourer · XQB-GV 95,Parkschaden,damage,"BUMPER_FRONT_FULL, FENDER_REAR_RIGHT",leicht,laufend,94%
886899,BMW 1er · ZQL-AC 5643,Bremsen,service,—,,abgeschlossen,90%
846520,Ford Kuga · ZQC-MF 545,Auffahrunfall,damage,FENDER_FRONT_LEFT,schwer,fertig,95%
865619,Opel Mokka · QX-X 29,Hagelschaden,damage,"HOOD, ROOF, TAILGATE",mittel,laufend,85%
833936,Audi Q3 · ZQA-PG 576,Steinschlag,damage,WINDSHIELD,mittel,fertig,90%
888180,BMW 5er Limousine · XQM-G 28,Räder und Reifen,service,—,,neu,80%
852414,BMW X3 · XQ-BN 229,Rangierschaden,damage,MIRROR_RIGHT,mittel,fertig,95%
862218,Seat Leon · XQD-X 36,Parkschaden,damage,HOOD,leicht,laufend,95%
840416,Mercedes Sprinter · XQE-P 25,Parkschaden,damage,MIRROR_LEFT,leicht,laufend,95%
839086,Skoda Superb Combi · XQC-MK 292,Vandalismus,damage,"TAILGATE, SILL_LEFT",leicht,neu,95%
837765,Opel Vivaro · QQZ-CU 98,Hagelschaden,damage,"ROOF, HOOD, TAILGATE",schwer,laufend,95%
892156,Opel Mokka · ZQC-MG 849,HU/AU,service,—,,fertig,90%
846743,Skoda Scala · QZ-TP 52,Hagelschaden,damage,"ROOF, HOOD, TAILGATE",,abgeschlossen,90%
841280,Audi A6 Avant · ZQS-VN 73,Auffahrunfall,damage,"FENDER_REAR_LEFT, FENDER_FRONT_LEFT",schwer,neu,92%
861949,VW T-Roc · XQE-R 9,HU/AU,service,—,,laufend,95%
833141,Skoda Superb Combi · QQV-EL 3435,Hagelschaden,damage,"TAILGATE, HOOD",schwer,abgeschlossen,95%
884480,Seat Leon · QQN-LN 292,Inspektion,service,—,,laufend,95%
875757,Opel Vivaro · QQT-FF 3216,Ölwechsel,service,—,,fertig,90%
892507,Skoda Octavia Combi · XQ-ST 34,Inspektion,service,—,,neu,95%
832457,BMW 3er Touring · QQF-P 928,HU/AU,service,—,,laufend,90%
867746,VW Golf · XQC-J 3920,Steinschlag,damage,WINDSHIELD,leicht,abgeschlossen,95%
834724,VW Passat Variant · QQT-M 9059,Rangierschaden,damage,BUMPER_FRONT_FULL,leicht,fertig,90%
879634,Opel Astra Sports Tourer · QQC-KU 874,Inspektion,service,—,,abgeschlossen,95%
874100,Skoda Karoq · QQA-A 90,Steinschlag,damage,WINDSHIELD,leicht,abgeschlossen,95%
859712,Ford Fiesta · ZQD-DS 7508,Inspektion,service,—,,neu,95%
872540,Mercedes C-Klasse T-Modell · XQR-H 148,Rangierschaden,damage,"DOOR_REAR_LEFT, TAILGATE",leicht,fertig,92%
889181,BMW X1 · QZ-L 874,HU/AU,service,—,,neu,95%
862157,Audi Q5 · XQD-BP 6784,Ölwechsel,service,—,,neu,95%
864838,VW Touran · QQT-H 269,HU/AU,service,—,,laufend,85%
873092,Seat Ateca · XQR-B 4701,Auffahrunfall,damage,BUMPER_REAR_LEFT,leicht,fertig,75%
832153,Mercedes B-Klasse · XQR-WA 95,Bremsen,service,—,,fertig,90%
887034,Seat Arona · QQD-N 211,Inspektion,service,—,,laufend,95%
888197,Opel Mokka · ZQ-CM 12,Inspektion,service,—,,storniert,95%
844778,Opel Vivaro · QQM-BF 80,Inspektion,service,—,,neu,95%
890706,Seat Arona · QQB-Y 606,Ölwechsel,service,—,,abgeschlossen,85%
876732,Ford Kuga · QQ-K 4,Auffahrunfall,damage,FENDER_FRONT_RIGHT,schwer,abgeschlossen,95%
890827,VW Touran · QQB-LD 76,HU/AU,service,—,,neu,90%
893289,BMW 3er Touring · QX-U 49,Bremsen,service,—,,laufend,80%
831499,Mercedes A-Klasse · QQL-E 603,Räder und Reifen,service,—,,laufend,90%
875500,Skoda Octavia Combi · ZQ-N 69,Wildunfall,damage,"BUMPER_FRONT_FULL, BUMPER_FRONT_LEFT",leicht,abgeschlossen,70%
888740,BMW 1er · XQD-E 937,Ölwechsel,service,—,,laufend,95%
875860,Opel Corsa · QY-T 4195,Steinschlag,damage,WINDSHIELD,,laufend,50%
858572,Skoda Octavia Combi · QQS-MA 75,HU/AU,service,—,,fertig,95%
899772,Mercedes B-Klasse · QQT-TE 2429,Inspektion,service,—,,laufend,85%
860974,VW Touran · QQK-JH 6417,Rangierschaden,damage,"SILL_LEFT, BUMPER_FRONT_LEFT",leicht,abgeschlossen,95%
844805,Audi Q3 · ZQR-HB 86,Inspektion,service,—,,fertig,95%
878876,Skoda Kodiaq · XQB-R 3984,Räder und Reifen,service,—,,laufend,95%
841456,Skoda Scala · QQ-YU 654,Bremsen,service,—,,abgeschlossen,80%
897492,Opel Corsa · QZ-ES 832,Inspektion,service,—,,abgeschlossen,70%
824844,Mercedes Sprinter · XQA-A 88,Bremsen,service,—,,neu,95%
869934,VW Tiguan · QQE-J 32,Inspektion,service,—,,abgeschlossen,95%
856345,Seat Ibiza · ZQ-K 912,Räder und Reifen,service,—,,neu,95%
865051,Ford Fiesta · XQA-L 70,Ölwechsel,service,—,,neu,95%
878138,Audi A1 Sportback · QQE-M 9837,Inspektion,service,—,,laufend,95%
876013,Opel Mokka · QQS-B 718,Vandalismus,damage,"BUMPER_FRONT_FULL, TAILGATE, SILL_RIGHT",schwer,abgeschlossen,93%
832574,VW Polo · QQD-LC 89,Bremsen,service,—,,abgeschlossen,90%
873174,BMW 1er · QQB-U 81,Ölwechsel,service,—,,fertig,95%
863379,BMW X1 · XQR-Y 2381,Ölwechsel,service,—,,fertig,95%
849621,Audi Q5 · XQE-P 557,HU/AU,service,—,,abgeschlossen,95%
893790,Audi Q3 · XQM-V 7697,HU/AU,service,—,,abgeschlossen,95%
824575,Opel Vivaro · ZQD-DR 820,Inspektion,service,—,,neu,90%
833500,Seat Arona · QQN-SU 269,Rangierschaden,damage,BUMPER_FRONT_RIGHT,schwer,fertig,95%
881399,Skoda Fabia · QQS-WE 74,Wildunfall,damage,"FENDER_FRONT_LEFT, BUMPER_FRONT_FULL",schwer,laufend,95%
834130,Skoda Karoq · ZQB-A 7,Parkschaden,damage,MIRROR_RIGHT,leicht,laufend,95%
844033,Skoda Scala · QQL-H 902,Bremsen,service,—,,abgeschlossen,95%
851332,BMW 2er Active Tourer · ZQC-TH 1235,Wildunfall,damage,"BUMPER_FRONT_LEFT, HOOD",schwer,neu,95%
877660,Audi A3 Sportback · QQT-RV 71,Wildunfall,damage,"FENDER_FRONT_RIGHT, BUMPER_FRONT_LEFT",leicht,storniert,70%
857391,BMW 5er Limousine · XQE-P 7536,Inspektion,service,—,,abgeschlossen,95%
892094,BMW 5er Limousine · QQS-GL 30,Steinschlag,damage,WINDSHIELD,leicht,laufend,95%
859101,Ford Transit Custom · XQB-X 8715,Auffahrunfall,damage,"BUMPER_REAR_RIGHT, FENDER_REAR_LEFT, BUMPER_REAR_LEFT",schwer,abgeschlossen,92%
864060,Ford Puma · XQD-T 507,Räder und Reifen,service,—,,neu,80%
844920,Mercedes GLC · QZ-HH 3330,Vandalismus,damage,MIRROR_RIGHT,leicht,neu,95%
862268,Mercedes E-Klasse · QQL-P 437,HU/AU,service,—,,fertig,90%
887724,Skoda Superb Combi · QQD-W 79,Bremsen,service,—,,abgeschlossen,90%
822460,Skoda Superb Combi · QZ-A 58,Bremsen,service,—,,laufend,95%
881569,Skoda Karoq · QX-KN 262,Hagelschaden,damage,"ROOF, HOOD, WINDSHIELD",schwer,laufend,85%
874957,Opel Grandland · ZQM-X 5512,Ölwechsel,service,—,,abgeschlossen,90%
861417,BMW 5er Limousine · XQL-TA 945,Auffahrunfall,damage,"HOOD, FENDER_REAR_LEFT, FENDER_FRONT_LEFT",mittel,abgeschlossen,50%
851816,Skoda Fabia · ZQ-T 9,Bremsen,service,—,,fertig,85%
839846,Mercedes C-Klasse T-Modell · QQT-M 8204,Inspektion,service,—,,neu,90%
839492,Ford Kuga · XQB-N 41,unknown,unknown,—,,abgeschlossen,0%
858677,VW Touran · ZQB-NW 118,Ölwechsel,service,—,,laufend,95%
864888,VW Tiguan · QQB-H 350,Hagelschaden,damage,"TAILGATE, ROOF",schwer,neu,95%
884196,Seat Ibiza · ZQD-HG 717,Bremsen,service,—,,fertig,90%
833827,Skoda Octavia Combi · QQW-U 7318,Inspektion,service,—,,laufend,90%
859115,Mercedes Vito · XQS-F 59,Parkschaden,damage,"FENDER_FRONT_RIGHT, BUMPER_FRONT_FULL",mittel,laufend,95%
864985,VW Tiguan · QQT-SY 863,Hagelschaden,damage,"TAILGATE, ROOF",schwer,abgeschlossen,93%
859595,Skoda Octavia Combi · QQE-X 7137,Hagelschaden,damage,"TAILGATE, HOOD, ROOF",schwer,laufend,70%
883065,Audi A4 Avant · XQM-TU 2257,Parkschaden,damage,TAILGATE,leicht,laufend,95%
874265,Skoda Superb Combi · QQF-H 111,Räder und Reifen,service,—,,fertig,90%
895141,Audi A4 Avant · XQ-P 260,HU/AU,service,—,,neu,90%
839215,Audi A1 Sportback · XQB-D 67,Parkschaden,damage,FENDER_FRONT_RIGHT,mittel,storniert,95%
862151,VW Tiguan · QQF-V 845,Wildunfall,damage,"FENDER_FRONT_RIGHT, BUMPER_FRONT_LEFT",leicht,storniert,88%
881547,Ford Puma · QQC-UJ 244,Auffahrunfall,damage,"FENDER_REAR_RIGHT, FENDER_FRONT_RIGHT",schwer,laufend,95%
874379,Audi A6 Avant · QQL-E 8989,Inspektion,service,—,,laufend,90%
824377,VW Polo · QQB-YA 43,Ölwechsel,service,—,,neu,90%
867644,Ford Fiesta · QQ-WT 229,Inspektion,service,—,,laufend,95%
853437,Seat Leon · QQS-AE 54,HU/AU,service,—,,laufend,90%
874316,Ford Puma · XQD-S 487,Ölwechsel,service,—,,laufend,90%
893103,Mercedes B-Klasse · QQM-ZJ 561,Vandalismus,damage,"BUMPER_REAR_LEFT, BUMPER_REAR_FULL",mittel,laufend,92%
830295,Mercedes E-Klasse · QQV-XP 365,Steinschlag,damage,WINDSHIELD,leicht,storniert,93%
859641,VW Passat Variant · XQ-NR 36,Inspektion,service,—,,fertig,95%
857254,VW Polo · ZQM-WK 6358,Inspektion,service,—,,neu,90%
839875,Mercedes Vito · QQH-CZ 2,Räder und Reifen,service,—,,laufend,95%
897855,VW Caddy · XQM-S 69,Bremsen,service,—,,abgeschlossen,80%
877072,Skoda Fabia · XQM-YY 44,Rangierschaden,damage,"BUMPER_REAR_FULL, DOOR_REAR_LEFT",leicht,abgeschlossen,93%
850163,VW Polo · ZQA-K 99,Rangierschaden,damage,FENDER_FRONT_LEFT,mittel,laufend,90%
860598,Seat Arona · ZQS-PJ 9296,Auffahrunfall,damage,"FENDER_REAR_RIGHT, FENDER_FRONT_RIGHT, BUMPER_REAR_LEFT",leicht,laufend,70%
884084,Skoda Kodiaq · QZ-XJ 1086,Räder und Reifen,service,—,,neu,90%
860433,Audi A1 Sportback · QX-X 6574,Parkschaden,damage,"BUMPER_REAR_RIGHT, TAILGATE",schwer,laufend,93%
843743,Seat Leon · QQL-D 45,Steinschlag,damage,WINDSHIELD,schwer,laufend,95%
870270,Seat Arona · ZQ-PR 9480,Inspektion,service,—,,neu,95%
836165,Audi Q5 · XQM-WZ 62,Inspektion,service,—,,abgeschlossen,95%
854876,Audi A1 Sportback · QQZ-F 14,Bremsen,service,—,,neu,85%
881044,VW T-Roc · QQR-Y 330,Bremsen,service,—,,fertig,90%
828374,Seat Arona · XQC-P 839,Bremsen,service,—,,fertig,90%
867951,Audi Q2 · XQS-HS 8986,Auffahrunfall,damage,"TAILGATE, BUMPER_REAR_FULL",schwer,fertig,95%
887711,Opel Astra Sports Tourer · ZQL-S 848,Räder und Reifen,service,—,,abgeschlossen,95%
835520,BMW X3 · QQT-P 69,Inspektion,service,—,,laufend,80%
838366,Seat Ateca · QY-TS 3497,Bremsen,service,—,,laufend,85%
827426,BMW 1er · QQM-P 504,Auffahrunfall,damage,TAILGATE,mittel,laufend,90%
896868,Ford Fiesta · QQZ-F 74,Bremsen,service,—,,fertig,90%
847648,VW Caddy · QX-BN 6258,Bremsen,service,—,,fertig,95%
887234,BMW 3er Touring · QQS-XM 7616,Rangierschaden,damage,MIRROR_RIGHT,schwer,laufend,90%
854935,Skoda Fabia · QX-A 7165,Räder und Reifen,service,—,,storniert,90%
826694,BMW X3 · ZQM-F 1580,Vandalismus,damage,"MIRROR_LEFT, TAILGATE, SILL_RIGHT",mittel,laufend,95%
894099,Audi A6 Avant · QQR-P 59,HU/AU,service,—,,laufend,95%
833248,Seat Arona · QQS-EU 40,Räder und Reifen,service,—,,fertig,90%
823116,Mercedes A-Klasse · QQK-KV 24,Parkschaden,damage,DOOR_REAR_RIGHT,mittel,abgeschlossen,92%
860577,VW Tiguan · QQW-DR 1821,Inspektion,service,—,,neu,95%
872526,Mercedes GLC · ZQC-S 4968,Rangierschaden,damage,BUMPER_FRONT_FULL,mittel,laufend,90%
876742,BMW 3er Touring · ZQA-G 590,Wildunfall,damage,HOOD,schwer,neu,95%
853139,Audi A3 Sportback · QQV-WZ 4244,Inspektion,service,—,,neu,95%
883952,Ford Fiesta · QQS-W 53,Auffahrunfall,damage,FENDER_REAR_RIGHT,schwer,neu,95%
854832,BMW X3 · QQB-YC 6505,Inspektion,service,—,,laufend,95%
885284,BMW X1 · QQK-U 146,Rangierschaden,damage,BUMPER_REAR_RIGHT,leicht,laufend,95%
834742,BMW 2er Active Tourer · QZ-WW 2,Hagelschaden,damage,"ROOF, HOOD, TAILGATE",schwer,fertig,50%
821324,BMW 3er Touring · QQZ-F 21,Steinschlag,damage,WINDSHIELD,mittel,laufend,95%
885250,VW Tiguan · QQV-E 26,Parkschaden,damage,"HOOD, SILL_LEFT",mittel,abgeschlossen,88%
873576,Mercedes Vito · ZQB-SN 5130,Ölwechsel,service,—,,fertig,80%
838936,Audi Q2 · QY-C 5975,HU/AU,service,—,,abgeschlossen,95%
857624,Seat Ibiza · QQZ-A 87,HU/AU,service,—,,laufend,90%
887137,BMW 5er Limousine · QQH-U 175,Ölwechsel,service,—,,laufend,90%
878080,VW Golf · XQS-PR 814,Räder und Reifen,service,—,,laufend,95%
879854,Mercedes A-Klasse · XQE-Z 66,Parkschaden,damage,HOOD,leicht,abgeschlossen,95%
865107,Skoda Fabia · XQB-PG 11,HU/AU,service,—,,fertig,95%
822311,Seat Leon · ZQC-FL 691,Bremsen,service,—,,laufend,90%
890318,Seat Ateca · XQ-TK 8105,Wildunfall,damage,"FENDER_FRONT_LEFT, BUMPER_FRONT_RIGHT",leicht,laufend,95%
838581,Seat Ibiza · QX-Z 4463,Rangierschaden,damage,DOOR_REAR_LEFT,mittel,abgeschlossen,95%
830264,Opel Grandland · ZQR-S 132,Bremsen,service,—,,neu,95%
851573,VW Polo · QQB-K 6885,Parkschaden,damage,BUMPER_FRONT_FULL,schwer,abgeschlossen,95%
857630,Mercedes Vito · QQM-A 5326,Ölwechsel,service,—,,storniert,90%
862646,Opel Vivaro · QQD-HV 94,Räder und Reifen,service,—,,laufend,90%
864355,VW Polo · QY-BY 654,Bremsen,service,—,,neu,90%
892061,Mercedes GLC · ZQC-N 677,Ölwechsel,service,—,,laufend,90%
884222,Audi Q3 · QQR-RY 28,Hagelschaden,damage,"HOOD, TAILGATE",schwer,neu,92%
873129,Skoda Fabia · ZQC-YL 157,Ölwechsel,service,—,,neu,95%
821277,BMW X3 · QQ-HR 27,Bremsen,service,—,,fertig,90%
860108,VW Tiguan · QZ-KX 1278,Räder und Reifen,service,—,,abgeschlossen,90%
879442,Ford Kuga · XQE-D 302,Vandalismus,damage,"FENDER_REAR_LEFT, DOOR_FRONT_LEFT",leicht,laufend,70%
893153,BMW 1er · XQA-R 341,Räder und Reifen,service,—,,fertig,85%
840566,Mercedes B-Klasse · XQ-ZG 76,Rangierschaden,damage,BUMPER_FRONT_RIGHT,mittel,abgeschlossen,95%
859828,Skoda Scala · QQA-NX 857,Parkschaden,damage,"SILL_RIGHT, BUMPER_REAR_LEFT",mittel,abgeschlossen,88%
858084,Opel Corsa · QQN-EV 460,Räder und Reifen,service,—,,laufend,95%
847522,Opel Astra Sports Tourer · ZQR-Y 85,Hagelschaden,damage,"ROOF, TAILGATE, HOOD",schwer,abgeschlossen,95%
845140,Mercedes B-Klasse · QQC-KE 4995,Wildunfall,damage,FENDER_FRONT_LEFT,mittel,laufend,95%
858814,Seat Leon · ZQR-L 1249,Bremsen,service,—,,abgeschlossen,90%
858424,Audi A1 Sportback · ZQL-ZW 3639,Vandalismus,damage,BUMPER_FRONT_RIGHT,leicht,abgeschlossen,92%
869331,VW Polo · QQE-A 80,Bremsen,service,—,,laufend,80%
821300,Audi Q2 · XQS-DR 7552,Parkschaden,damage,"SILL_LEFT, FENDER_REAR_RIGHT",schwer,laufend,95%
833710,Mercedes A-Klasse · QQA-RK 15,HU/AU,service,—,,abgeschlossen,90%
826178,Seat Arona · XQL-N 630,Wildunfall,damage,"HOOD, BUMPER_FRONT_LEFT",mittel,abgeschlossen,90%
892669,Opel Corsa · QQM-SJ 347,Wildunfall,damage,HOOD,schwer,abgeschlossen,90%
882855,Mercedes Vito · QY-RP 33,Räder und Reifen,service,—,,abgeschlossen,95%
887291,VW Touran · QQM-EE 20,HU/AU,service,—,,neu,95%
841315,Ford Transit Custom · XQC-BP 6223,Räder und Reifen,service,—,,storniert,95%
867311,VW Touran · ZQS-TP 6332,Bremsen,service,—,,laufend,90%
881233,Ford Kuga · QY-FC 86,Wildunfall,damage,FENDER_FRONT_LEFT,schwer,abgeschlossen,95%
871303,VW T6.1 Transporter · XQA-DP 85,Parkschaden,damage,DOOR_REAR_LEFT,mittel,laufend,90%
820951,BMW 2er Active Tourer · QZ-R 532,Ölwechsel,service,—,,laufend,95%
859982,BMW 5er Limousine · ZQC-V 6892,Inspektion,service,—,,laufend,95%
871781,Skoda Scala · QQB-W 58,Räder und Reifen,service,—,,laufend,90%
875352,BMW 2er Active Tourer · QQD-F 999,Ölwechsel,service,—,,fertig,95%
881785,BMW 3er Touring · XQ-U 9,HU/AU,service,—,,abgeschlossen,95%
869938,Audi Q3 · XQC-JF 161,Vandalismus,damage,"HOOD, FENDER_FRONT_RIGHT, BUMPER_FRONT_RIGHT",leicht,laufend,93%
837083,Skoda Fabia · XQB-KA 111,Rangierschaden,damage,"SILL_LEFT, FENDER_FRONT_RIGHT",mittel,laufend,90%
892954,Audi A4 Avant · ZQC-F 1050,Vandalismus,damage,"SILL_LEFT, BUMPER_REAR_LEFT",mittel,laufend,93%
833373,Mercedes E-Klasse · QQR-F 15,Inspektion,service,—,,fertig,95%
822430,VW T6.1 Transporter · QQV-N 1223,Parkschaden,damage,HOOD,mittel,neu,90%
884431,Ford Puma · XQM-BH 6843,Ölwechsel,service,—,,abgeschlossen,85%
890691,BMW 2er Active Tourer · QQL-LV 24,HU/AU,service,—,,fertig,85%
854791,VW T-Roc · QQB-JW 54,Auffahrunfall,damage,"BUMPER_REAR_FULL, BUMPER_REAR_RIGHT",leicht,abgeschlossen,90%
889564,Opel Astra Sports Tourer · ZQM-W 8,Inspektion,service,—,,laufend,95%
842824,Mercedes A-Klasse · ZQA-N 12,Ölwechsel,service,—,,neu,95%
861868,Skoda Superb Combi · XQD-JY 8,Steinschlag,damage,WINDSHIELD,schwer,abgeschlossen,95%
866177,VW Golf · QQV-KK 723,Bremsen,service,—,,laufend,85%
871750,Seat Ateca · ZQB-DY 374,HU/AU,service,—,,neu,90%
824929,BMW 2er Active Tourer · QQD-UC 85,Parkschaden,damage,"FENDER_REAR_RIGHT, BUMPER_FRONT_RIGHT",mittel,fertig,95%
876312,VW Tiguan · XQB-N 3181,Inspektion,service,—,,abgeschlossen,80%
830105,Skoda Scala · QQA-DZ 10,Steinschlag,damage,WINDSHIELD,schwer,neu,95%
883345,Mercedes A-Klasse · QQA-Z 3558,Rangierschaden,damage,"SILL_LEFT, BUMPER_REAR_FULL",leicht,neu,88%
869971,Mercedes C-Klasse T-Modell · XQS-LD 594,Ölwechsel,service,—,,laufend,95%
874740,Mercedes E-Klasse · QQM-MV 7162,Vandalismus,damage,"DOOR_REAR_RIGHT, SILL_LEFT",leicht,laufend,93%
837956,Skoda Fabia · XQB-X 86,Auffahrunfall,damage,"TAILGATE, FENDER_FRONT_LEFT",schwer,abgeschlossen,90%
835826,Opel Grandland · ZQC-F 15,Räder und Reifen,service,—,,abgeschlossen,70%
894726,Audi A3 Sportback · XQS-X 44,Bremsen,service,—,,fertig,90%
873795,Audi Q2 · QQR-CG 111,Räder und Reifen,service,—,,fertig,90%
821314,Audi A6 Avant · XQC-YS 898,Vandalismus,damage,"MIRROR_RIGHT, BUMPER_FRONT_RIGHT, DOOR_REAR_RIGHT",leicht,abgeschlossen,95%
855877,BMW X1 · ZQR-M 2408,Parkschaden,damage,"TAILGATE, BUMPER_FRONT_LEFT",leicht,laufend,95%
859329,Ford Focus Turnier · QQZ-J 4151,Parkschaden,damage,DOOR_REAR_LEFT,schwer,fertig,90%
839735,BMW 2er Active Tourer · QQZ-KK 99,Inspektion,service,—,,abgeschlossen,90%
